쉼터명,법정동명,쉼터유형구분,운영시작일자,운영종료일자,시설면적,이용가능인원수,선풍기보유대수,에어컨보유대수,야간연장운영여부,주말운영여부,숙박가능여부,특이사항,소재지도로명주소,소재지지번주소,관리기관명,관리기관전화번호,위도,경도,데이터기준일자
숭효당경로당,전라북도 전주시 완산구 효자2동,노인시설,2017-05-30,2017-09-30,39,10,3,2,N,N,N,-,전라북도 전주시 완산구 용머리로 68,전라북도 전주시 완산구 효자동1가 282-20,전라북도 전주시 완산구청,063-220-5156,35.805549,127.117612,2018-02-20
송정경로당,전라북도 전주시 완산구 효자2동,노인시설,2017-05-30,2017-09-30,128,32,3,2,N,N,N,-,전라북도 전주시 완산구 성지산2길 21-5,,전라북도 전주시 완산구청,063-220-5156,35.805845,127.117498,2018-02-20
효성경로당,전라북도 전주시 완산구 효자2동,노인시설,2017-05-30,2017-09-30,82,20,5,1,N,N,N,-,전라북도 전주시 완산구 신봉3길 17-14,전라북도 전주시 완산구 효자동1가 610-0,전라북도 전주시 완산구청,063-220-5156,35.8118935,127.115904,2018-02-20
비사벌경로당,전라북도 전주시 완산구 효자2동,노인시설,2017-05-30,2017-09-30,49,12,2,1,N,N,N,-,전라북도 전주시 완산구 서원로 258,전라북도 전주시 완산구 효자동1가 635-0,전라북도 전주시 완산구청,063-220-5156,35.811369,127.122206,2018-02-20
남양송정경로당,전라북도 전주시 완산구 효자2동,노인시설,2017-05-30,2017-09-30,33,8,4,2,N,N,N,-,전라북도 전주시 완산구 용머리로 78,전라북도 전주시 완산구 효자동1가 280-2,전라북도 전주시 완산구청,063-220-5156,35.805673,127.1186753,2018-02-20
성원골드경로당,전라북도 전주시 완산구 효자2동,노인시설,2017-05-30,2017-09-30,39,10,4,2,N,N,N,-,전라북도 전주시 완산구 신봉로 74,전라북도 전주시 완산구 효자동1가 636-2,전라북도 전주시 완산구청,063-220-5156,35.808925,127.122111,2018-02-20
신일효친경로당,전라북도 전주시 완산구 효자2동,노인시설,2017-05-30,2017-09-30,44,11,2,2,N,N,N,-,전라북도 전주시 완산구 신봉로 51,전라북도 전주시 완산구 효자동1가 635-2,전라북도 전주시 완산구청,063-220-5156,35.810343,127.121265,2018-02-20
제일경로당,전라북도 전주시 완산구 효자2동,노인시설,2017-05-30,2017-09-30,52,13,3,1,N,N,N,-,전라북도 전주시 완산구 신봉로 52,전라북도 전주시 완산구 효자동1가 636-0,전라북도 전주시 완산구청,063-220-5156,35.809237,127.120392,2018-02-20
광진진주경로당,전라북도 전주시 완산구 효자2동,노인시설,2017-05-30,2017-09-30,39,10,3,2,N,N,N,-,전라북도 전주시 완산구 신봉로 64,전라북도 전주시 완산구 효자동1가 636-1,전라북도 전주시 완산구청,063-220-5156,35.808838,127.121249,2018-02-20
신촌경로당,전라북도 전주시 완산구 효자1동,노인시설,2017-05-30,2017-09-30,81,35,5,3,N,N,N,-,전라북도 전주시 완산구 안행5길 51,전라북도 전주시 완산구 효자동1가 122-26,전라북도 전주시 완산구청,063-220-5156,35.805355,127.130592,2018-02-20
효정경로당,전라북도 전주시 완산구 효자1동,노인시설,2017-05-30,2017-09-30,97,41,3,2,N,N,N,-,전라북도 전주시 완산구 효정2길 22,전라북도 전주시 완산구 효자동1가 55-37,전라북도 전주시 완산구청,063-220-5156,35.807162,127.136216,2018-02-20
효자1동 주민센터,전라북도 전주시 완산구 효자1동,주민센터,2017-05-30,2017-09-30,1426,70,11,7,N,N,N,-,전라북도 전주시 완산구 안행5길 59-3,전라북도 전주시 완산구 효자동1가 110-16,전라북도 전주시 완산구청,063-220-5156,35.805828,127.129968,2018-02-20
주공3단지 여자경로당,전라북도 전주시 완산구 효자1동,노인시설,2017-05-30,2017-09-30,48,40,4,1,N,N,N,-,전라북도 전주시 완산구 용머리로 194,전라북도 전주시 완산구 효자동1가 133-0,전라북도 전주시 완산구청,063-220-5156,35.804821,127.132745,2018-02-20
주공3단지 남자경로당,전라북도 전주시 완산구 효자1동,노인시설,2017-05-30,2017-09-30,196,77,2,1,N,N,N,-,전라북도 전주시 완산구 용머리로 194,전라북도 전주시 완산구 효자동1가 133-0,전라북도 전주시 완산구청,063-220-5156,35.804821,127.132745,2018-02-20
안행경로당,전라북도 전주시 완산구 효자1동,노인시설,2017-05-30,2017-09-30,97,52,3,2,N,N,N,-,전라북도 전주시 완산구 외칠봉3길 23-1,전라북도 전주시 완산구 효자동1가 37-19,전라북도 전주시 완산구청,063-220-5156,35.804941,127.136937,2018-02-20
풍남동주민센터,전라북도 전주시 완산구 풍남동,주민센터,2017-05-30,2017-09-30,610,152,10,1,N,N,N,-,전라북도 전주시 완산구 어진길 122-12,전라북도 전주시 완산구 경원동1가 126-41,전라북도 전주시 완산구청,063-220-5156,35.817035,127.148082,2018-02-20
교동경로당,전라북도 전주시 완산구 풍남동,노인시설,2017-05-30,2017-09-30,60,12,2,1,Y,Y,N,-,전라북도 전주시 완산구 은행로 81,전라북도 전주시 완산구 교동 125-1,전라북도 전주시 완산구청,063-220-5156,35.812644,127.1530375,2018-02-20
승암경로당,전라북도 전주시 완산구 풍남동,노인시설,2017-05-30,2017-09-30,59,10,2,1,Y,Y,N,-,전라북도 전주시 완산구 바람쐬는길 41,전라북도 전주시 완산구 교동 10-6,전라북도 전주시 완산구청,063-220-5156,35.810005,127.163504,2018-02-20
풍우경로당,전라북도 전주시 완산구 풍남동,노인시설,2017-05-30,2017-09-30,128,25,4,2,Y,Y,N,-,전라북도 전주시 완산구 은행로 14-1,전라북도 전주시 완산구 풍남동1가 53-1,전라북도 전주시 완산구청,063-220-5156,35.818601,127.151651,2018-02-20
새마을경로당,전라북도 전주시 완산구 풍남동,노인시설,2017-05-30,2017-09-30,60,15,2,1,Y,Y,N,-,전라북도 전주시 완산구 향교길 14-4,전라북도 전주시 완산구 전동 239-1,전라북도 전주시 완산구청,063-220-5156,35.811498,127.150288,2018-02-20
교풍경로당,전라북도 전주시 완산구 풍남동,노인시설,2017-05-30,2017-09-30,60,15,2,1,Y,Y,N,-,전라북도 전주시 완산구 오목대길 10-6,전라북도 전주시 완산구 교동 55-20,전라북도 전주시 완산구청,063-220-5156,35.813639,127.154835,2018-02-20
한계경로당,전라북도 전주시 완산구 풍남동,노인시설,2017-05-30,2017-09-30,50,12,2,1,Y,Y,N,-,전라북도 전주시 완산구 오목대길 58,전라북도 전주시 완산구 교동 60-4,전라북도 전주시 완산구청,063-220-5156,35.8130557,127.153137,2018-02-20
자만경로당,전라북도 전주시 완산구 풍남동,노인시설,2017-05-30,2017-09-30,50,12,2,1,Y,Y,N,-,전라북도 전주시 완산구 자만동2길 35,전라북도 전주시 완산구 교동 54-53,전라북도 전주시 완산구청,063-220-5156,35.814397,127.157416,2018-02-20
진흥더블파크1단지경로당,전라북도 전주시 덕진구 호성동,노인시설,2017-05-30,2017-09-30,110,27,2,1,N,Y,N,-,전라북도 전주시 덕진구 호성로 132,전라북도 전주시 덕진구 호성동1가 829-4,전라북도 전주시 덕진구청,063-270-6341,35.861963,127.149163,2018-02-20
동아경로당,전라북도 전주시 덕진구 호성동,노인시설,2017-05-30,2017-09-30,93,23,2,1,N,Y,N,-,전라북도 전주시 덕진구 호성2길 16,전라북도 전주시 덕진구 호성동1가 826-0,전라북도 전주시 덕진구청,063-270-6341,35.860273,127.152292,2018-02-20
호성동주민자치센터,전라북도 전주시 덕진구 호성동,복지회관,2017-05-30,2017-09-30,378,94,12,6,N,N,N,-,전라북도 전주시 덕진구 동부대로 869,전라북도 전주시 덕진구 호성동1가 863-44,전라북도 전주시 덕진구청,063-270-6341,35.863634,127.149599,2018-02-20
하오(여)경로당,전라북도 전주시 덕진구 호성동,노인시설,2017-05-30,2017-09-30,32,8,1,1,N,Y,N,-,전라북도 전주시 덕진구 하오신흥길 5,전라북도 전주시 덕진구 호성동3가 745-11,전라북도 전주시 덕진구청,063-270-6341,35.897931,127.131121,2018-02-20
기노당경로당,전라북도 전주시 덕진구 호성동,노인시설,2017-05-30,2017-09-30,127,31,2,1,N,Y,N,-,전라북도 전주시 덕진구 호성로 40,전라북도 전주시 덕진구 호성동1가 718-0,전라북도 전주시 덕진구청,063-270-6341,35.855439,127.151823,2018-02-20
주공2단지경로당,전라북도 전주시 덕진구 호성동,노인시설,2017-05-30,2017-09-30,160,40,2,1,N,Y,N,-,전라북도 전주시 덕진구 소리로 179,전라북도 전주시 덕진구 호성동1가 900-0,전라북도 전주시 덕진구청,063-270-6341,35.858451,127.150828,2018-02-20
주공1단지경로당,전라북도 전주시 덕진구 호성동,노인시설,2017-05-30,2017-09-30,49,12,2,1,N,Y,N,-,전라북도 전주시 덕진구 소리로 179,전라북도 전주시 덕진구 호성동1가 900-0,전라북도 전주시 덕진구청,063-270-6341,35.858451,127.150828,2018-02-20
동신3차경로당,전라북도 전주시 덕진구 호성동,노인시설,2017-05-30,2017-09-30,31,7,3,1,N,Y,N,-,전라북도 전주시 덕진구 동부대로 785,전라북도 전주시 덕진구 호성동1가 749-0,전라북도 전주시 덕진구청,063-270-6341,35.857231,127.155458,2018-02-20
동신(남)경로당,전라북도 전주시 덕진구 호성동,노인시설,2017-05-30,2017-09-30,123,30,1,1,N,Y,N,-,전라북도 전주시 덕진구 동부대로 787,전라북도 전주시 덕진구 호성동1가 747-0,전라북도 전주시 덕진구청,063-270-6341,35.857827,127.154289,2018-02-20
동신(여)경로당,전라북도 전주시 덕진구 호성동,노인시설,2017-05-30,2017-09-30,30,7,1,1,N,Y,N,-,전라북도 전주시 덕진구 동부대로 787,전라북도 전주시 덕진구 호성동1가 747-0,전라북도 전주시 덕진구청,063-270-6341,35.857827,127.154289,2018-02-20
유원경로당,전라북도 전주시 덕진구 호성동,노인시설,2017-05-30,2017-09-30,95,23,3,1,N,Y,N,-,전라북도 전주시 덕진구 소리로 191-1,전라북도 전주시 덕진구 호성동1가 792-0,전라북도 전주시 덕진구청,063-270-6341,35.858464,127.152655,2018-02-20
신동아경로당,전라북도 전주시 덕진구 호성동,노인시설,2017-05-30,2017-09-30,67,16,2,1,N,Y,N,-,전라북도 전주시 덕진구 호성1길 29,전라북도 전주시 덕진구 호성동1가 731-4,전라북도 전주시 덕진구청,063-270-6341,35.855765,127.153359,2018-02-20
아중롯데경로당,전라북도 전주시 덕진구 우아2동,노인시설,2017-05-30,2017-09-30,84,21,2,2,N,Y,N,-,전라북도 전주시 덕진구 중상보로 10,전라북도 전주시 덕진구 우아동2가 887-0,전라북도 전주시 덕진구청,063-270-6341,35.8314394,127.168935,2018-02-20
우정신세계경로당,전라북도 전주시 덕진구 우아2동,노인시설,2017-05-30,2017-09-30,56,15,3,1,N,Y,N,-,전라북도 전주시 덕진구 동부대로 575,전라북도 전주시 덕진구 우아동3가 359-0,전라북도 전주시 덕진구청,063-270-6341,35.840985,127.166423,2018-02-20
진흥하이츠경로당,전라북도 전주시 덕진구 우아2동,노인시설,2017-05-30,2017-09-30,84,21,2,1,N,Y,N,-,전라북도 전주시 덕진구 안덕원1길 30,전라북도 전주시 덕진구 우아동3가 412-0,전라북도 전주시 덕진구청,063-270-6341,35.840866,127.164885,2018-02-20
진버들대우2차경로당,전라북도 전주시 덕진구 우아2동,노인시설,2017-05-30,2017-09-30,84,21,2,1,N,Y,N,-,전라북도 전주시 덕진구 진버들5길 10,전라북도 전주시 덕진구 우아동2가 853-1,전라북도 전주시 덕진구청,063-270-6341,35.836923,127.165546,2018-02-20
엘드경로당,전라북도 전주시 덕진구 우아2동,노인시설,2017-05-30,2017-09-30,83,21,2,1,N,Y,N,-,전라북도 전주시 덕진구 안덕원2길 32,전라북도 전주시 덕진구 우아동3가 423-5,전라북도 전주시 덕진구청,063-270-6341,35.842239,127.163985,2018-02-20
석소경로당,전라북도 전주시 덕진구 우아2동,노인시설,2017-05-30,2017-09-30,63,15,4,1,N,Y,N,-,전라북도 전주시 덕진구 석소2길 14-5,전라북도 전주시 덕진구 우아동2가 873-1,전라북도 전주시 덕진구청,063-270-6341,35.834254,127.169282,2018-02-20
공덕경로당,전라북도 전주시 덕진구 우아2동,노인시설,2017-05-30,2017-09-30,143,45,4,1,N,Y,N,-,전라북도 전주시 덕진구 삼천공덕길 86,전라북도 전주시 덕진구 금상동 38-4,전라북도 전주시 덕진구청,063-270-6341,35.847246,127.201826,2018-02-20
삼천경로당,전라북도 전주시 덕진구 우아2동,노인시설,2017-05-30,2017-09-30,52,15,4,1,N,Y,N,-,전라북도 전주시 덕진구 삼천공덕길 32,전라북도 전주시 덕진구 금상동 282-3,전라북도 전주시 덕진구청,063-270-6341,35.851415,127.199825,2018-02-20
삼거경로당,전라북도 전주시 덕진구 우아2동,노인시설,2017-05-30,2017-09-30,159,53,4,1,N,Y,N,-,전라북도 전주시 덕진구 삼거1길 61-7,전라북도 전주시 덕진구 금상동 221-3,전라북도 전주시 덕진구청,063-270-6341,35.854765,127.1940208,2018-02-20
가소경로당,전라북도 전주시 덕진구 우아2동,노인시설,2017-05-30,2017-09-30,80,20,3,1,N,Y,N,-,전라북도 전주시 덕진구 가소길 47,전라북도 전주시 덕진구 금상동 449-1,전라북도 전주시 덕진구청,063-270-6341,35.848192,127.192396,2018-02-20
금상경로당,전라북도 전주시 덕진구 우아2동,노인시설,2017-05-30,2017-09-30,91,66,5,1,N,Y,N,-,전라북도 전주시 덕진구 수리재길 63,전라북도 전주시 덕진구 금상동 834-5,전라북도 전주시 덕진구청,063-270-6341,35.841623,127.185887,2018-02-20
낙수경로당,전라북도 전주시 완산구 풍남동,노인시설,2017-05-30,2017-09-30,100,25,3,2,Y,Y,N,-,전라북도 전주시 완산구 낙수정2길 64-13,전라북도 전주시 완산구 교동 991-8,전라북도 전주시 완산구청,063-220-5156,35.813538,127.163523,2018-02-20
효성아파트경로당,전라북도 전주시 완산구 평화2동,노인시설,2017-05-30,2017-09-30,46,28,1,1,N,Y,N,-,전라북도 전주시 완산구 꽃밭정3길 30,전라북도 전주시 완산구 평화동1가 593-0,전라북도 전주시 완산구청,063-220-5156,35.798086,127.133802,2018-02-20
만수정(삼성강남)경로당,전라북도 전주시 완산구 평화2동,노인시설,2017-05-30,2017-09-30,47,58,5,2,N,Y,N,-,전라북도 전주시 완산구 모악로 4705,전라북도 전주시 완산구 평화동2가 259-5,전라북도 전주시 완산구청,063-220-5156,35.789566,127.129702,2018-02-20
동아현대경로당,전라북도 전주시 완산구 평화2동,노인시설,2017-05-30,2017-09-30,64,31,2,2,N,Y,N,-,전라북도 전주시 완산구 맏내3길 22,전라북도 전주시 완산구 평화동2가 843-1,전라북도 전주시 완산구청,063-220-5156,35.793071,127.129454,2018-02-20
평화현대경로당,전라북도 전주시 완산구 평화2동,노인시설,2017-05-30,2017-09-30,142,36,2,1,N,Y,N,-,전라북도 전주시 완산구 소대배기로 33,전라북도 전주시 완산구 평화동2가 336-6,전라북도 전주시 완산구청,063-220-5156,35.787574,127.133374,2018-02-20
우미아파트경로당,전라북도 전주시 완산구 평화2동,노인시설,2017-05-30,2017-09-30,83,45,3,1,N,Y,N,-,전라북도 전주시 완산구 모악로 4685,전라북도 전주시 완산구 평화동2가 312-6,전라북도 전주시 완산구청,063-220-5156,35.786151,127.126001,2018-02-20
호반리젠시빌경로당,전라북도 전주시 완산구 평화2동,노인시설,2017-05-30,2017-09-30,87,46,3,2,N,Y,N,-,전라북도 전주시 완산구 평화로 95,전라북도 전주시 완산구 평화동2가 889-7,전라북도 전주시 완산구청,063-220-5156,35.785476,127.132424,2018-02-20
만수(주공5단지)경로당,전라북도 전주시 완산구 평화2동,노인시설,2017-05-30,2017-09-30,110,55,2,2,N,Y,N,-,전라북도 전주시 완산구 모악로 4724,전라북도 전주시 완산구 평화동2가 292-0,전라북도 전주시 완산구청,063-220-5156,35.789993,127.132629,2018-02-20
학수(주공4단지)경로당,전라북도 전주시 완산구 평화2동,노인시설,2017-05-30,2017-09-30,53,61,2,2,N,Y,N,-,전라북도 전주시 완산구 모악로 4726,전라북도 전주시 완산구 평화동1가 663-3,전라북도 전주시 완산구청,063-220-5156,35.791643,127.132711,2018-02-20
코오롱경로당,전라북도 전주시 완산구 평화2동,노인시설,2017-05-30,2017-09-30,132,80,2,1,N,Y,N,-,전라북도 전주시 완산구 평화로 181,전라북도 전주시 완산구 평화동1가 696-0,전라북도 전주시 완산구청,063-220-5156,35.793075,127.135018,2018-02-20
주공그린2차경로당,전라북도 전주시 완산구 평화2동,노인시설,2017-05-30,2017-09-30,171,38,5,1,N,Y,N,-,전라북도 전주시 완산구 평화12길 5,전라북도 전주시 완산구 평화동2가 869-1,전라북도 전주시 완산구청,063-220-5156,35.790643,127.135299,2018-02-20
주공그린1차경로당,전라북도 전주시 완산구 평화2동,노인시설,2017-05-30,2017-09-30,79,73,2,2,N,Y,N,-,전라북도 전주시 완산구 구이로 2094,전라북도 전주시 완산구 평화동2가 897-1,전라북도 전주시 완산구청,063-220-5156,35.783944,127.131191,2018-02-20
동신아파트경로당,전라북도 전주시 완산구 평화2동,노인시설,2017-05-30,2017-09-30,452,41,4,1,N,Y,N,-,전라북도 전주시 완산구 양지2길 10,전라북도 전주시 완산구 평화동2가 567-0,전라북도 전주시 완산구청,063-220-5156,35.791519,127.121838,2018-02-20
영무예다음경로당,전라북도 전주시 완산구 평화2동,노인시설,2017-05-30,2017-09-30,123,40,3,1,N,Y,N,-,전라북도 전주시 완산구 구이로 2065,전라북도 전주시 완산구 평화동2가 952-0,전라북도 전주시 완산구청,063-220-5156,35.78237836,127.128974,2018-02-20
엠코경로당,전라북도 전주시 완산구 평화2동,노인시설,2017-05-30,2017-09-30,81,25,3,1,N,Y,N,-,전라북도 전주시 완산구 양지3길 25,전라북도 전주시 완산구 평화동2가 953-0,전라북도 전주시 완산구청,063-220-5156,35.7891675,127.119493,2018-02-20
평화2동 주민센터,전라북도 전주시 완산구 평화2동,주민센터,2017-05-30,2017-09-30,422,100,8,2,N,Y,N,-,전라북도 전주시 완산구 평화18길 14-16,전라북도 전주시 완산구 평화동1가 720-4,전라북도 전주시 완산구청,063-220-5156,35.795492,127.135269,2018-02-20
신기경로당,전라북도 전주시 완산구 평화2동,노인시설,2017-05-30,2017-09-30,32,37,3,1,N,Y,N,-,전라북도 전주시 완산구 신기마을길 31,전라북도 전주시 완산구 석구동 99-1,전라북도 전주시 완산구청,063-220-5156,35.772512,127.130718,2018-02-20
송정써미트경로당,전라북도 전주시 완산구 평화2동,노인시설,2017-05-30,2017-09-30,132,53,2,1,N,Y,N,-,전라북도 전주시 완산구 평화7길 40,전라북도 전주시 완산구 평화동2가 943-0,전라북도 전주시 완산구청,063-220-5156,35.785893,127.137773,2018-02-20
두산푸른솔경로당,전라북도 전주시 완산구 평화2동,노인시설,2017-05-30,2017-09-30,75,32,2,2,N,Y,N,-,전라북도 전주시 완산구 양지1길 16-3,전라북도 전주시 완산구 평화동2가 712-1,전라북도 전주시 완산구청,063-220-5156,35.790774,127.118769,2018-02-20
동도미소드림경로당,전라북도 전주시 완산구 평화2동,노인시설,2017-05-30,2017-09-30,65,24,1,1,N,Y,N,-,전라북도 전주시 완산구 모악로 4651,전라북도 전주시 완산구 평화동2가 457-4,전라북도 전주시 완산구청,063-220-5156,35.785812,127.127785,2018-02-20
경복궁경로당,전라북도 전주시 완산구 평화2동,노인시설,2017-05-30,2017-09-30,82,35,1,1,N,Y,N,-,전라북도 전주시 완산구 평화로 120,전라북도 전주시 완산구 평화동2가 180-0,전라북도 전주시 완산구청,063-220-5156,35.787378,127.136153,2018-02-20
우성신성경로당,전라북도 전주시 완산구 평화2동,노인시설,2017-05-30,2017-09-30,279,36,3,2,N,Y,N,-,전라북도 전주시 완산구 맏내1길 5,전라북도 전주시 완산구 평화동2가 259-12,전라북도 전주시 완산구청,063-220-5156,35.790238,127.130314,2018-02-20
원금상경로당,전라북도 전주시 덕진구 우아2동,노인시설,2017-05-30,2017-09-30,78,27,4,1,N,Y,N,-,전라북도 전주시 덕진구 수리재길 109-1,전라북도 전주시 덕진구 금상동 898-6,전라북도 전주시 덕진구청,063-270-6341,35.838073,127.1859854,2018-02-20
행치경로당,전라북도 전주시 덕진구 우아2동,노인시설,2017-05-30,2017-09-30,102,25,3,1,N,Y,N,-,전라북도 전주시 덕진구 행치길 26-6,전라북도 전주시 덕진구 산정동 423-1,전라북도 전주시 덕진구청,063-270-6341,35.8316177,127.176603,2018-02-20
원산정경로당,전라북도 전주시 덕진구 우아2동,노인시설,2017-05-30,2017-09-30,75,42,4,1,N,Y,N,-,전라북도 전주시 덕진구 원산정안길 40,전라북도 전주시 덕진구 산정동 39-1,전라북도 전주시 덕진구청,063-270-6341,35.850075,127.1763097,2018-02-20
기린경로당,전라북도 전주시 덕진구 우아2동,노인시설,2017-05-30,2017-09-30,59,34,3,1,N,Y,N,-,전라북도 전주시 덕진구 진버들1길 73,전라북도 전주시 덕진구 우아동3가 456-3,전라북도 전주시 덕진구청,063-270-6341,35.837957,127.163919,2018-02-20
왜망실경로당,전라북도 전주시 덕진구 우아2동,노인시설,2017-05-30,2017-09-30,116,38,3,1,N,Y,N,-,전라북도 전주시 덕진구 용계길 14,전라북도 전주시 덕진구 우아동1가 327-0,전라북도 전주시 덕진구청,063-270-6341,35.820844,127.198671,2018-02-20
관암경로당,전라북도 전주시 덕진구 우아2동,노인시설,2017-05-30,2017-09-30,179,33,4,1,N,Y,N,-,전라북도 전주시 덕진구 관암길 8,전라북도 전주시 덕진구 우아동1가 722-0,전라북도 전주시 덕진구청,063-270-6341,35.815742,127.181205,2018-02-20
인교경로당,전라북도 전주시 덕진구 우아2동,노인시설,2017-05-30,2017-09-30,139,30,4,1,N,Y,N,-,전라북도 전주시 덕진구 인교5길 21-3,전라북도 전주시 덕진구 우아동1가 916-14,전라북도 전주시 덕진구청,063-270-6341,35.827762,127.174186,2018-02-20
안덕경로당,전라북도 전주시 덕진구 우아2동,노인시설,2017-05-30,2017-09-30,117,58,4,1,N,Y,N,-,전라북도 전주시 덕진구 동부대로 593-8,전라북도 전주시 덕진구 우아동3가 368-3,전라북도 전주시 덕진구청,063-270-6341,35.842395,127.1657156,2018-02-20
우아2동주민자치센터,전라북도 전주시 덕진구 우아2동,주민센터,2017-05-30,2017-09-30,1246,80,5,2,N,N,N,-,전라북도 전주시 덕진구 진버들7길 25,전라북도 전주시 덕진구 우아동2가 856-3,전라북도 전주시 덕진구청,063-270-6341,35.837753,127.167032,2018-02-20
