쉼터명,법정동명,쉼터유형구분,운영시작일자,운영종료일자,시설면적,이용가능인원수,선풍기보유대수,에어컨보유대수,야간연장운영여부,주말운영여부,숙박가능여부,특이사항,소재지도로명주소,소재지지번주소,관리기관명,관리기관전화번호,위도,경도,데이터기준일자
공원경로당,전라북도 전주시 덕진구 우아1동,노인시설,2017-05-30,2017-09-30,45,11,1,1,N,N,N,-,전라북도 전주시 덕진구 우아6길 24,전라북도 전주시 덕진구 우아동3가 744-139,전라북도 전주시 덕진구청,063-270-6341,35.850872,127.1586183,2018-02-20
우신경로당,전라북도 전주시 덕진구 우아1동,노인시설,2017-05-30,2017-09-30,96,24,1,1,N,N,N,-,전라북도 전주시 덕진구 견훤로 495,전라북도 전주시 덕진구 우아동3가 599-0,전라북도 전주시 덕진구청,063-270-6341,35.854879,127.154265,2018-02-20
장재마을경로당,전라북도 전주시 덕진구 우아1동,노인시설,2017-05-30,2017-09-30,96,23,1,1,N,N,N,-,전라북도 전주시 덕진구 장재길 55-3,전라북도 전주시 덕진구 우아동3가 248-0,전라북도 전주시 덕진구청,063-270-6341,35.850681,127.1636696,2018-02-20
우아1단지경로당,전라북도 전주시 덕진구 우아1동,노인시설,2017-05-30,2017-09-30,112,28,1,1,N,N,N,-,전라북도 전주시 덕진구 우아로 33,전라북도 전주시 덕진구 우아동3가 747-81,전라북도 전주시 덕진구청,063-270-6341,35.850525,127.154189,2018-02-20
우성경로당,전라북도 전주시 덕진구 우아1동,노인시설,2017-05-30,2017-09-30,115,28,1,1,N,N,N,-,전라북도 전주시 덕진구 견훤로 497,전라북도 전주시 덕진구 우아동3가 594-6,전라북도 전주시 덕진구청,063-270-6341,35.8552055,127.154892,2018-02-20
럭키우아경로당,전라북도 전주시 덕진구 우아1동,노인시설,2017-05-30,2017-09-30,145,36,1,1,N,N,N,-,전라북도 전주시 덕진구 안덕원 3길 10,전라북도 전주시 덕진구 우아동3가 285-8,전라북도 전주시 덕진구청,063-270-6341,35.844022,127.163767,2018-02-20
신기경로당,전라북도 전주시 덕진구 우아1동,노인시설,2017-05-30,2017-09-30,104,25,1,1,N,N,N,-,전라북도 전주시 덕진구 신기2길 5,전라북도 전주시 덕진구 우아동3가 753-28,전라북도 전주시 덕진구청,063-270-6341,35.847143,127.162893,2018-02-20
기영경로당,전라북도 전주시 덕진구 우아1동,노인시설,2017-05-30,2017-09-30,69,17,1,1,N,N,N,-,전라북도 전주시 덕진구 안골5길 7-4,전라북도 전주시 덕진구 우아동3가 756-5,전라북도 전주시 덕진구청,063-270-6341,35.8429704,127.1551273,2018-02-20
우아1동주민자치센터,전라북도 전주시 덕진구 우아1동,주민센터,2017-05-30,2017-09-30,200,50,5,3,N,N,N,-,전라북도 전주시 덕진구 우아2길 25,전라북도 전주시 덕진구 우아동3가 746-67,전라북도 전주시 덕진구청,063-270-6341,35.849842,127.159555,2018-02-20
남양아파트경로당,전라북도 전주시 덕진구 팔복동,노인시설,2017-05-30,2017-09-30,57,45,1,1,N,Y,N,-,전라북도 전주시 덕진구 팔복1길 8,전라북도 전주시 덕진구 팔복동2가 130-2,전라북도 전주시 덕진구청,063-270-6341,35.848276,127.103799,2018-02-20
동곡경로당,전라북도 전주시 덕진구 팔복동,노인시설,2017-05-30,2017-09-30,75,40,1,1,N,Y,N,-,전라북도 전주시 덕진구 동곡안길 19,전라북도 전주시 덕진구 팔복동2가 515-20,전라북도 전주시 덕진구청,063-270-6341,35.857363,127.093234,2018-02-20
야전경로당,전라북도 전주시 덕진구 팔복동,노인시설,2017-05-30,2017-09-30,99,40,1,1,N,Y,N,-,전라북도 전주시 덕진구 야전2길 27-4,전라북도 전주시 덕진구 팔복동4가 218-9,전라북도 전주시 덕진구청,063-270-6341,35.861936,127.104398,2018-02-20
백수경로당,전라북도 전주시 덕진구 팔복동,노인시설,2017-05-30,2017-09-30,67,35,0,1,N,Y,N,-,전라북도 전주시 덕진구 추천로 143-1,전라북도 전주시 덕진구 팔복동2가 62-8,전라북도 전주시 덕진구청,063-270-6341,35.849816,127.108453,2018-02-20
덕수경로당,전라북도 전주시 덕진구 팔복동,노인시설,2017-05-30,2017-09-30,67,40,1,1,N,Y,N,-,전라북도 전주시 덕진구 추천로 143-1,전라북도 전주시 덕진구 팔복동2가 62-8,전라북도 전주시 덕진구청,063-270-6341,35.849816,127.108453,2018-02-20
푸른마을경로당,전라북도 전주시 완산구 평화2동,노인시설,2017-05-30,2017-09-30,30,35,2,1,N,Y,N,-,전라북도 전주시 완산구 평화9길 16,전라북도 전주시 완산구 평화동2가 941-0,전라북도 전주시 완산구청,063-220-5156,35.787453,127.137922,2018-02-20
미송평화경로당,전라북도 전주시 완산구 평화2동,노인시설,2017-05-30,2017-09-30,59,31,2,2,N,Y,N,-,전라북도 전주시 완산구 모악로 4681,전라북도 전주시 완산구 평화동2가 310-1,전라북도 전주시 완산구청,063-220-5156,35.787248,127.128223,2018-02-20
신성경로당,전라북도 전주시 완산구 평화2동,노인시설,2017-05-30,2017-09-30,107,31,2,1,N,N,N,-,전라북도 전주시 완산구 소대배기로5-18,전라북도 전주시 완산구 평화동2가 335-1,전라북도 전주시 완산구청,063-220-5156,35.787823,127.1317102,2018-02-20
문정경로당,전라북도 전주시 완산구 평화2동,노인시설,2017-05-30,2017-09-30,264,42,3,2,N,Y,N,-,전라북도 전주시 완산구 문정길 33,전라북도 전주시 완산구 평화동3가 314-0,전라북도 전주시 완산구청,063-220-5156,35.778838,127.126844,2018-02-20
칠봉경로당,전라북도 전주시 완산구 평화2동,노인시설,2017-05-30,2017-09-30,69,68,3,1,N,Y,N,-,전라북도 전주시 완산구 평화18길 30-5,전라북도 전주시 완산구 평화동1가 709-5,전라북도 전주시 완산구청,063-220-5156,35.7954825,127.133609,2018-02-20
중평경로당,전라북도 전주시 완산구 평화2동,노인시설,2017-05-30,2017-09-30,185,58,2,1,N,Y,N,-,전라북도 전주시 완산구 중평길18-9,전라북도 전주시 완산구 평화동3가 469-2,전라북도 전주시 완산구청,063-220-5156,35.775928,127.118359,2018-02-20
평화주공3단지경로당,전라북도 전주시 완산구 평화1동,노인시설,2017-05-30,2017-09-30,115,25,2,1,N,N,N,-,전라북도 전주시 완산구 덕적골2길 10,전라북도 전주시 완산구 평화동1가 445-1,전라북도 전주시 완산구청,063-220-5156,35.797408,127.139795,2018-02-20
오네트경로당,전라북도 전주시 완산구 평화1동,노인시설,2017-05-30,2017-09-30,93,20,3,3,N,N,N,-,전라북도 전주시 완산구 덕적골1길 50,전라북도 전주시 완산구 평화동1가 766-0,전라북도 전주시 완산구청,063-220-5156,35.793411,127.139208,2018-02-20
양지효성경로당,전라북도 전주시 완산구 평화1동,노인시설,2017-05-30,2017-09-30,72,10,2,1,N,N,N,-,전라북도 전주시 완산구 장승배기3길 8,전라북도 전주시 완산구 평화동1가 412-0,전라북도 전주시 완산구청,063-220-5156,35.800214,127.142663,2018-02-20
지안리즈경로당,전라북도 전주시 완산구 평화1동,노인시설,2017-05-30,2017-09-30,66,15,2,1,N,N,N,-,전라북도 전주시 완산구 덕적골2길 66,전라북도 전주시 완산구 평화동1가 761-0,전라북도 전주시 완산구청,063-220-5156,35.793144,127.140914,2018-02-20
화전경로당,전라북도 전주시 완산구 평화1동,노인시설,2017-05-30,2017-09-30,82,15,1,1,N,N,N,-,전라북도 전주시 완산구 꽃밭정8길 9,전라북도 전주시 완산구 평화동1가 577-37,전라북도 전주시 완산구청,063-220-5156,35.798679,127.138553,2018-02-20
학산(한성)경로당,전라북도 전주시 완산구 평화1동,노인시설,2017-05-30,2017-09-30,129,20,3,2,N,N,N,-,전라북도 전주시 완산구 덕적골1길 33,전라북도 전주시 완산구 평화동1가 467-0,전라북도 전주시 완산구청,063-220-5156,35.794601,127.140423,2018-02-20
일 성경로당,전라북도 전주시 완산구 평화1동,노인시설,2017-05-30,2017-09-30,167,20,3,1,N,N,N,-,전라북도 전주시 완산구 평화19길 20,전라북도 전주시 완산구 평화동1가 522-0,전라북도 전주시 완산구청,063-220-5156,35.794025,127.138128,2018-02-20
극동평화경로당,전라북도 전주시 완산구 평화1동,노인시설,2017-05-30,2017-09-30,39,25,2,2,N,N,N,-,전라북도 전주시 완산구 덕적골1길 10,전라북도 전주시 완산구 평화동1가 570-15,전라북도 전주시 완산구청,063-220-5156,35.796776,127.138308,2018-02-20
장수(전주복지)경로당,전라북도 전주시 완산구 평화1동,노인시설,2017-05-30,2017-09-30,60,15,3,2,N,N,N,-,전라북도 전주시 완산구 덕적골2길 22,전라북도 전주시 완산구 평화동1가 445-1,전라북도 전주시 완산구청,063-220-5156,35.796568,127.139505,2018-02-20
장승(평화복지)경로당,전라북도 전주시 완산구 평화1동,노인시설,2017-05-30,2017-09-30,141,20,2,1,N,N,N,-,전라북도 전주시 완산구 덕적골2길 25,전라북도 전주시 완산구 평화동1가 445-6,전라북도 전주시 완산구청,063-220-5156,35.7966361,127.142261,2018-02-20
평화1동 주민센터,전라북도 전주시 완산구 평화1동,주민센터,2017-05-30,2017-09-30,150,10,1,1,N,N,N,-,전라북도 전주시 완산구 장승배기로 256,전라북도 전주시 완산구 평화동1가 445-8,전라북도 전주시 완산구청,063-220-5156,35.798034,127.140297,2018-02-20
평화주공2단지경로당,전라북도 전주시 완산구 평화1동,노인시설,2017-05-30,2017-09-30,132,25,5,2,N,N,N,-,전라북도 전주시 완산구 덕적골2길 11,전라북도 전주시 완산구 평화동1가 445-6,전라북도 전주시 완산구청,063-220-5156,35.796792,127.1419241,2018-02-20
중화산2동주민센터,전라북도 전주시 완산구 중화산2동,주민센터,2017-05-30,2017-09-30,200,50,10,2,N,N,N,-,전라북도 전주시 완산구 화산천변로 30,전라북도 전주시 완산구 중화산동2가 752-1,전라북도 전주시 완산구청,063-220-5156,35.821619,127.116383,2018-02-20
광진햇빛찬경로당,전라북도 전주시 완산구 중화산2동,노인시설,2017-05-30,2017-09-30,67,16,1,1,N,Y,N,-,전라북도 전주시 완산구 강변로 306,전라북도 전주시 완산구 중화산동2가 825-0,전라북도 전주시 완산구청,063-220-5156,35.817703,127.114523,2018-02-20
신촌경로당,전라북도 전주시 완산구 중화산2동,노인시설,2017-05-30,2017-09-30,98,24,1,1,N,Y,N,-,전라북도 전주시 완산구 신촌3길 27-59,전라북도 전주시 완산구 중화산동2가 485-64,전라북도 전주시 완산구청,063-220-5156,35.816544,127.115044,2018-02-20
우성중산경로당,전라북도 전주시 완산구 중화산2동,노인시설,2017-05-30,2017-09-30,56,14,1,1,N,Y,N,-,전라북도 전주시 완산구 신촌3길 1,전라북도 전주시 완산구 중화산동2가 406-3,전라북도 전주시 완산구청,063-220-5156,35.816121,127.117583,2018-02-20
궁전남자경로당,전라북도 전주시 덕진구 인후1동,노인시설,2017-05-30,2017-09-30,84,21,1,1,N,N,N,,전라북도 전주시 덕진구 팽나무1길19,,전라북도 전주시 덕진구청,063-270-6341,35.8349465,127.150848,2018-02-20
사천여자경로당,전라북도 전주시 덕진구 인후1동,노인시설,2017-05-30,2017-09-30,34,7,2,1,N,N,N,,전라북도 전주시 덕진구 건산로143-2,,전라북도 전주시 덕진구청,063-270-6341,35.8335457,127.1531264,2018-02-20
한마음경로당,전라북도 전주시 덕진구 인후1동,노인시설,2017-05-30,2017-09-30,57,14,2,1,N,N,N,,전라북도 전주시 덕진구 진버들1길63,,전라북도 전주시 덕진구청,063-270-6341,35.8378259,127.1631448,2018-02-20
인동경로당,전라북도 전주시 덕진구 인후1동,노인시설,2017-05-30,2017-09-30,58,14,2,1,N,N,N,,전라북도 전주시 덕진구 반태산6길8,,전라북도 전주시 덕진구청,063-270-6341,35.8302468,127.1518201,2018-02-20
인후송정써미트경로당,전라북도 전주시 덕진구 인후1동,노인시설,2017-05-30,2017-09-30,70,18,1,1,N,N,N,,전라북도 전주시 덕진구 안덕원로325,,전라북도 전주시 덕진구청,063-270-6341,35.8389363,127.1622288,2018-02-20
현대1차경로당,전라북도 전주시 덕진구 인후1동,노인시설,2017-05-30,2017-09-30,53,13,1,1,N,N,N,,전라북도 전주시 덕진구 안골3길7,,전라북도 전주시 덕진구청,063-270-6341,35.8409747,127.1562598,2018-02-20
칠정마을경로당,전라북도 전주시 덕진구 조촌동,노인시설,2017-05-30,2017-09-30,34.4,39,1,1,N,Y,N,-,전라북도 전주시 덕진구 대정안길 22,,전라북도 전주시 덕진구청,063-270-6341,35.8752696,127.0410971,2018-02-20
월곡마을경로당,전라북도 전주시 덕진구 조촌동,노인시설,2017-05-30,2017-09-30,99.48,28,1,1,N,Y,N,-,전라북도 전주시 덕진구 용정서월길8-10,,전라북도 전주시 덕진구청,063-270-6341,35.8782494,127.0586728,2018-02-20
원동여자경로당,전라북도 전주시 덕진구 조촌동,노인시설,2017-05-30,2017-09-30,82.6,35,2,1,N,Y,N,-,전라북도 전주시 덕진구 원동마을길 48,,전라북도 전주시 덕진구청,063-270-6341,35.8582085,127.0346208,2018-02-20
원동경로당,전라북도 전주시 덕진구 조촌동,노인시설,2017-05-30,2017-09-30,82.6,29,2,1,N,Y,N,-,전라북도 전주시 덕진구 원동마을길 48,,전라북도 전주시 덕진구청,063-270-6341,35.8582085,127.0346208,2018-02-20
용신경로당,전라북도 전주시 덕진구 조촌동,노인시설,2017-05-30,2017-09-30,96.9,33,1,1,N,Y,N,-,전라북도 전주시 덕진구 용암길 73,,전라북도 전주시 덕진구청,063-270-6341,35.8821919,127.0612343,2018-02-20
감수(여)경로당,전라북도 전주시 덕진구 팔복동,노인시설,2017-05-30,2017-09-30,89,20,1,1,N,Y,N,-,전라북도 전주시 덕진구 감수길 50,전라북도 전주시 덕진구 팔복동4가 166-75,전라북도 전주시 덕진구청,063-270-6341,35.866905,127.100002,2018-02-20
팔복동주민자치센터,전라북도 전주시 덕진구 팔복동,주민센터,2017-05-30,2017-09-30,1115,100,1,1,N,N,N,-,전라북도 전주시 덕진구 신복5길 6,전라북도 전주시 덕진구 팔복동1가 138-6,전라북도 전주시 덕진구청,063-270-6341,35.853613,127.106285,2018-02-20
칠일경로당,전라북도 전주시 덕진구 팔복동,노인시설,2017-05-30,2017-09-30,97,35,0,1,N,Y,N,-,전라북도 전주시 덕진구 추천1길 14,전라북도 전주시 덕진구 팔복동2가 799-1,전라북도 전주시 덕진구청,063-270-6341,35.848767,127.105509,2018-02-20
추천경로당,전라북도 전주시 덕진구 팔복동,노인시설,2017-05-30,2017-09-30,99,40,1,1,N,Y,N,-,전라북도 전주시 덕진구 추천4길 34-4,전라북도 전주시 덕진구 팔복동2가 24-26,전라북도 전주시 덕진구청,063-270-6341,35.851157,127.106966,2018-02-20
상리경로당,전라북도 전주시 덕진구 팔복동,노인시설,2017-05-30,2017-09-30,90,40,1,1,N,Y,N,-,전라북도 전주시 덕진구 상리5길 8-3,전라북도 전주시 덕진구 팔복동2가 225-7,전라북도 전주시 덕진구청,063-270-6341,35.851321,127.101196,2018-02-20
감수(남)경로당,전라북도 전주시 덕진구 팔복동,노인시설,2017-05-30,2017-09-30,89,30,1,1,N,Y,N,-,전라북도 전주시 덕진구 감수길 50,전라북도 전주시 덕진구 팔복동4가 166-75,전라북도 전주시 덕진구청,063-270-6341,35.866905,127.100002,2018-02-20
복지여자경로당,전라북도 전주시 덕진구 팔복동,노인시설,2017-05-30,2017-09-30,79,20,0,1,N,Y,N,-,전라북도 전주시 덕진구 팔복1길 7-6,전라북도 전주시 덕진구 팔복동2가 144-11,전라북도 전주시 덕진구청,063-270-6341,35.848637,127.103773,2018-02-20
거성타워아파트경로당,전라북도 전주시 덕진구 금암2동,노인시설,2017-05-30,2017-09-30,24,6,2,1,N,N,N,-,전라북도 전주시 덕진구 매봉16길 37,전라북도 전주시 덕진구 금암동 523-9,전라북도 전주시 덕진구청,063-270-6341,35.835621,127.139427,2018-02-20
정우경로당,전라북도 전주시 덕진구 금암2동,노인시설,2017-05-30,2017-09-30,85,82,2,1,N,N,N,-,전라북도 전주시 덕진구 건지1길 13-3,전라북도 전주시 덕진구 금암동 1590-12,전라북도 전주시 덕진구청,063-270-6341,35.8438557,127.139515,2018-02-20
중앙하이츠아파트경로당,전라북도 전주시 덕진구 금암2동,노인시설,2017-05-30,2017-09-30,92,23,3,1,N,N,N,-,전라북도 전주시 덕진구 거북바우로3길 15,전라북도 전주시 덕진구 금암동 179-12,전라북도 전주시 덕진구청,063-270-6341,35.829393,127.134326,2018-02-20
북부여자경로당,전라북도 전주시 덕진구 금암2동,노인시설,2017-05-30,2017-09-30,73,18,3,1,N,N,N,-,전라북도 전주시 덕진구 매봉16길 8,전라북도 전주시 덕진구 금암동 1575-7,전라북도 전주시 덕진구청,063-270-6341,35.838564,127.141299,2018-02-20
금암2동주민자치센터,전라북도 전주시 덕진구 금암2동,복지회관,2017-05-30,2017-09-30,360,90,12,1,N,N,N,-,전라북도 전주시 덕진구 거북바우로 50,전라북도 전주시 덕진구 금암동 1572-1,전라북도 전주시 덕진구청,063-270-6341,35.838522,127.143048,2018-02-20
금암경로당,전라북도 전주시 덕진구 금암1동,노인시설,2017-05-30,2017-09-30,69,50,3,2,N,Y,N,-,전라북도 전주시 덕진구 떡전4길 22-5,전라북도 전주시 덕진구 금암동 756-4,전라북도 전주시 덕진구청,063-270-6341,35.836865,127.1294517,2018-02-20
부노회(여자)경로당,전라북도 전주시 덕진구 금암1동,노인시설,2017-05-30,2017-09-30,91,50,5,1,N,Y,N,-,전라북도 전주시 덕진구 금암1길 17-8,전라북도 전주시 덕진구 금암동 610-2,전라북도 전주시 덕진구청,063-270-6341,35.839645,127.134934,2018-02-20
금암1(남자)경로당,전라북도 전주시 덕진구 금암1동,노인시설,2017-05-30,2017-09-30,113,25,1,1,N,Y,N,-,전라북도 전주시 덕진구 금암2길 28-2,전라북도 전주시 덕진구 금암동 580-0,전라북도 전주시 덕진구청,063-270-6341,35.839133,127.133899,2018-02-20
건산경로당,전라북도 전주시 덕진구 금암1동,노인시설,2017-05-30,2017-09-30,137,50,2,1,N,Y,N,-,전라북도 전주시 덕진구 금암1길 35-2,전라북도 전주시 덕진구 금암동 535-7,전라북도 전주시 덕진구청,063-270-6341,35.838533,127.135776,2018-02-20
금암노인복지회관,전라북도 전주시 덕진구 금암1동,복지회관,2017-05-30,2017-09-30,729,150,1,1,N,N,N,-,전라북도 전주시 덕진구 삼송5길 12,전라북도 전주시 덕진구 금암동 1546-1,전라북도 전주시 덕진구청,063-270-6341,35.843285,127.137274,2018-02-20
금암1동주민자치센터,전라북도 전주시 덕진구 금암1동,복지회관,2017-05-30,2017-09-30,317,100,6,1,N,N,N,-,전라북도 전주시 덕진구 기린대로 392,전라북도 전주시 덕진구 금암동 470-7,전라북도 전주시 덕진구청,063-270-6341,35.837405,127.1331382,2018-02-20
신성여자경로당,전라북도 전주시 덕진구 덕진동,노인시설,2017-05-30,2017-09-30,76,19,1,1,Y,Y,N,-,전라북도 전주시 덕진구 들사평3길 26-8,전라북도 전주시 덕진구 덕진동1가 1411-13,전라북도 전주시 덕진구청,063-270-6341,35.839748,127.123078,2018-02-20
덕진노인복지관,전라북도 전주시 덕진구 덕진동,복지회관,2017-05-30,2017-09-30,2735,683,1,1,Y,Y,N,-,전라북도 전주시 덕진구 송천중앙로 36,전라북도 전주시 덕진구 덕진동2가 174-0,전라북도 전주시 덕진구청,063-270-6341,35.849996,127.120585,2018-02-20
호반촌경로당,전라북도 전주시 덕진구 덕진동,노인시설,2017-05-30,2017-09-30,97,24,2,1,N,Y,N,-,전라북도 전주시 덕진구 호반6길 21-3,전라북도 전주시 덕진구 덕진동2가 167-103,전라북도 전주시 덕진구청,063-270-6341,35.851678,127.117732,2018-02-20
오성유토피아아파트경로당,전라북도 전주시 덕진구 덕진동,노인시설,2017-05-30,2017-09-30,57,14,1,1,N,Y,N,-,전라북도 전주시 덕진구 호반8길 15,전라북도 전주시 덕진구 덕진동2가 20-0,전라북도 전주시 덕진구청,063-270-6341,35.852358,127.1159571,2018-02-20
현대에코르경로당,전라북도 전주시 완산구 중화산2동,노인시설,2017-05-30,2017-09-30,135,33,4,2,N,Y,N,-,전라북도 전주시 완산구 화산천변로 50,전라북도 전주시 완산구 중화산동2가 745-1,전라북도 전주시 완산구청,063-220-5156,35.823326,127.116817,2018-02-20
코오롱하늘채경로당,전라북도 전주시 완산구 중화산2동,노인시설,2017-05-30,2017-09-30,132,33,1,2,N,Y,N,-,전라북도 전주시 완산구 화산천변로 55,전라북도 전주시 완산구 중화산동2가 746-1,전라북도 전주시 완산구청,063-220-5156,35.8235492,127.115044,2018-02-20
우성근영경로당,전라북도 전주시 완산구 중화산2동,노인시설,2017-05-30,2017-09-30,108,27,1,1,N,Y,N,-,전라북도 전주시 완산구 영경1길 25,전라북도 전주시 완산구 중화산동2가 256-0,전라북도 전주시 완산구청,063-220-5156,35.818418,127.126035,2018-02-20
새한그린경로당,전라북도 전주시 완산구 중화산2동,노인시설,2017-05-30,2017-09-30,112,28,2,1,N,Y,N,-,전라북도 전주시 완산구 영경1길 22,전라북도 전주시 완산구 중화산동2가 232-0,전라북도 전주시 완산구청,063-220-5156,35.8177627,127.125513,2018-02-20
한신코아경로당,전라북도 전주시 완산구 중화산2동,노인시설,2017-05-30,2017-09-30,106,26,2,1,N,Y,N,-,전라북도 전주시 완산구 신촌2길 20,전라북도 전주시 완산구 중화산동2가 482-1,전라북도 전주시 완산구청,063-220-5156,35.815364,127.116474,2018-02-20
동원맨션경로당,전라북도 전주시 완산구 중화산2동,노인시설,2017-05-30,2017-09-30,128,32,1,1,N,Y,N,-,전라북도 전주시 완산구 신촌3길 27-14,전라북도 전주시 완산구 중화산동2가 485-30,전라북도 전주시 완산구청,063-220-5156,35.816178,127.114329,2018-02-20
근영경로당,전라북도 전주시 완산구 중화산2동,노인시설,2017-05-30,2017-09-30,99,24,1,1,N,Y,N,-,전라북도 전주시 완산구 어은로 37-10,전라북도 전주시 완산구 중화산동2가 217-3,전라북도 전주시 완산구청,063-220-5156,35.817793,127.126949,2018-02-20
영무예다음 경로당,전라북도 전주시 완산구 중화산1동,노인시설,2017-05-30,2017-09-30,109,70,0,1,N,Y,N,,"전라북도 전주시 완산구 안행로 165-5(중화산동2가, 중화산영무예다음)",,전라북도 전주시 완산구청,063-220-5157,,,2018-02-20
중화산풍림아이원 경로당,전라북도 전주시 완산구 중화산1동,노인시설,2017-05-30,2017-09-30,92,30,1,1,N,Y,N,-,"전라북도 전주시 완산구 서원로 289(중화산동2가, 중화산풍림아이원A)",전라북도 전주시 완산구 중화산동2가 827-0,전라북도 전주시 완산구청,063-220-5156,35.812877,127.126328,2018-02-20
